0.03767,0,1999,8703331
0.07536,0,2003,8705334
0.11284,0.00011,1997,8707331
0.15036,0.00053,2008,8709339
0.18746,0.00148,1997,8711336
0.22425,0.00307,1995,8713331
0.2609,0.0055,2004,8715335
0.2971,0.00889,2000,8717335
0.33278,0.01344,1995,8719330
0.36818,0.01936,2005,8721335
0.40289,0.02666,1996,8723331
0.43712,0.03576,2001,8725332
0.47069,0.04591,1999,8727331
0.50369,0.05808,2005,8729336
0.53587,0.07194,1999,8731335
0.56733,0.0877,2001,8733336
0.59795,0.10505,1999,8735335
0.62784,0.12473,2007,8737342
0.65663,0.14589,1993,8739335
0.68456,0.16863,1998,8741333
0.71159,0.19328,2003,8743336
0.73747,0.21962,1993,8745329
0.76239,0.24798,1999,8747328
0.78632,0.27792,2007,8749335
0.80907,0.30997,2002,8751337
0.83067,0.34393,2002,8753339
0.85103,0.38043,1997,8755336
0.87022,0.41851,2000,8757336
0.88813,0.45882,1995,8759331
0.90487,0.50145,2006,8761337
0.92022,0.54599,1994,8763331
0.93435,0.59296,2004,8765335
0.9471,0.64173,1998,8767333
0.95851,0.6923,1996,8769329
0.96857,0.74509,2001,8771330
0.97726,0.79947,2001,8773331
0.98457,0.8548,2004,8775335
0.99046,0.91129,1996,8777331
0.99496,0.9699,2004,8779335
0.99803,1.02946,2000,8781335
0.99968,1.08976,1997,8783332
0.99992,1.15123,1996,8785328
0.99874,1.21365,2000,8787328
0.99614,1.27723,2003,8789331
0.99211,1.34165,2003,8791334
0.98669,1.4065,1997,8793331
0.97984,1.47231,2006,8795337
0.97163,1.53832,1995,8797332
0.96203,1.60518,2000,8799332
0.95104,1.67331,2003,8801335
0.93871,1.74081,2000,8803335
0.92506,1.80926,2000,8805335
0.91008,1.87823,2000,8807335
0.89381,1.94731,2001,8809336
0.87632,2.01692,1994,8811330
0.85753,2.08717,2002,8813332
0.83745,2.15742,2008,8815340
0.81637,2.22735,1989,8817329
0.79399,2.29717,2003,8819332
0.77048,2.3671,2003,8821335
0.74595,2.4366,1996,8823331
0.72031,2.50632,2001,8825332
0.69367,2.5754,1999,8827331
0.66603,2.64406,2000,8829331
0.63739,2.71251,2003,8831334
0.60798,2.78,1995,8833329
0.57762,2.84718,2000,8835329
0.54641,2.9133,2002,8837331
0.51446,2.97857,2000,8839331
0.4817,3.04268,2004,8841335
0.44833,3.10574,2000,8843335
0.41444,3.16741,1993,8845328
0.3798,3.22793,2003,8847331
0.34466,3.28696,2000,8849331
0.30905,3.3444,1999,8851330
0.27297,3.40037,2001,8853331
0.23652,3.45411,2000,8855331
0.19965,3.50626,2004,8857335
0.16256,3.55641,2001,8859336
0.12535,3.60433,1995,8861331
0.08787,3.65025,2000,8863331
0.05021,3.69405,2003,8865334
0.01251,3.73509,2001,8867335
-0.02519,3.7736,2000,8869335
-0.06285,3.80862,2000,8871335
-0.10049,3.84089,2004,8873339
-0.13775,3.86945,1991,8875330
-0.17508,3.89505,2005,8877335
-0.21206,3.91727,2000,8879335
-0.24884,3.93642,2005,8881340
-0.28509,3.95165,1996,8883336
-0.32093,3.96403,1995,8885331
-0.35641,3.97281,2001,8887332
-0.3915,3.97841,2007,8889339
-0.42573,3.98085,1990,8891329
-0.4596,3.98011,2004,8893333
-0.49273,3.97662,1999,8895332
-0.52517,3.97027,2000,8897332
-0.55688,3.96149,2000,8899332
-0.58783,3.95027,2003,8901335
-0.61784,3.93684,1996,8903331
-0.64711,3.92044,2005,8905336
